EMPRES-i Plus,,,,,,,,,,,,,,,,,
Date downloaded: 24/10/2023 21:26,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Filters,,,,,,,,,,,,,,,,,
Disease: West Nile Fever,,,,,,,,,,,,,,,,,
Region: Europe,,,,,,,,,,,,,,,,,
Subregion: All,,,,,,,,,,,,,,,,,
Diagnosis source: All,,,,,,,,,,,,,,,,,
Diagnosis status: All,,,,,,,,,,,,,,,,,
Animal type: All,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
363147,West Nile Fever,,Europe,Western Europe,Germany,Sachsen,Delitzsch,51.52,12.31,OIE,Confirmed,Wild,Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae),15/08/2023,22/09/2023,,
360674,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Bitterfeld-Wolfen,51.68,12.26,OIE,Confirmed,Wild,Accipitridae (Incognita),08/08/2023,14/08/2023,,
360673,West Nile Fever,,Europe,Western Europe,Germany,Sachsen,Riesa,51.3,13.31,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),07/08/2023,14/08/2023,,
360696,West Nile Fever,,Europe,Western Europe,France,Poitou-Charentes,Les Mathes,45.686739,-1.164917,OIE,Confirmed,Wild,Chilean Flamingo (Phoenicopterus Chilensis),29/07/2023,16/08/2023,,
360058,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Magdeburg,52.16,11.64,OIE,Confirmed,Wild,Accipitridae (Incognita),28/07/2023,04/08/2023,,
360672,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Teltow,52.38,13.26,OIE,Confirmed,Wild,Accipitridae (Incognita),26/07/2023,14/08/2023,,
362963,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.43,13.41,OIE,Confirmed,Wild,Accipitridae (Incognita),25/07/2023,22/09/2023,,
360056,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.42,13.26,OIE,Confirmed,Wild,Accipitridae (Incognita),22/07/2023,04/08/2023,,
359120,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Dessau-Roßlau,51.84,12.23,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),18/07/2023,21/07/2023,,
360697,West Nile Fever,,Europe,Western Europe,France,Poitou-Charentes,Saint-Martial-de-Mirambeau,45.376036,-0.584099,OIE,Confirmed,Domestic,Equidae,08/02/2023,16/08/2023,,
336306,West Nile Fever,,Europe,Western Europe,France,Corse,Borgo,42.565,9.455,OIE,Confirmed,Domestic,Equidae,10/11/2022,24/11/2022,,
347360,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Gardelegen,52.58,11.53,OIE,Confirmed,Domestic,Equidae,10/11/2022,07/03/2023,,
335471,West Nile Fever,,Europe,Southern Europe,Greece,Ipeiros,Preveza,38.990782,20.737112,OIE,Confirmed,Domestic,Equidae,25/10/2022,17/11/2022,,
335472,West Nile Fever,,Europe,Southern Europe,Greece,Ipeiros,Preveza,38.994114,20.772805,OIE,Confirmed,Domestic,Equidae,25/10/2022,17/11/2022,,
345641,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Bernau bei Berlin,52.67,13.61,OIE,Confirmed,Wild,Passeridae (Unidentified):Passeridae (Incognita)(Passeridae),24/10/2022,17/02/2023,,
335473,West Nile Fever,,Europe,Southern Europe,Greece,Kentriki Makedonia,Kilkis,40.947305,22.84128,OIE,Confirmed,Domestic,Equidae,18/10/2022,17/11/2022,,
335503,West Nile Fever,,Europe,Western Europe,Austria,Wien,Wien,48.262,16.432,OIE,Confirmed,Wild,Crow,15/10/2022,17/11/2022,,
333903,West Nile Fever,,Europe,Western Europe,France,Provence-Alpes-Cote-d'Azur,Hyeres,43.11637,6.096802,OIE,Confirmed,Domestic,Equidae,06/10/2022,21/10/2022,,
333124,West Nile Fever,,Europe,Western Europe,Germany,Hamburg,Hamburg,53.5,9.83,OIE,Confirmed,Wild,Corvidae (Incognita),04/10/2022,10/10/2022,,
335474,West Nile Fever,,Europe,Southern Europe,Greece,Sterea Ellada,Aliveri,38.399206,24.022681,OIE,Confirmed,Domestic,Equidae,04/10/2022,17/11/2022,,
347361,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Zahna-Elster,51.94,12.78,OIE,Confirmed,Domestic,Equidae,04/10/2022,07/03/2023,,
332868,West Nile Fever,,Europe,Southern Europe,Greece,Kentriki Makedonia,LANGADAS,40.8,23.87,OIE,Confirmed,Domestic,Equidae,26/09/2022,05/10/2022,,
332861,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Ludwigsfelde,52.28,13.16,OIE,Confirmed,Domestic,Equidae,22/09/2022,05/10/2022,,
332863,West Nile Fever,,Europe,Western Europe,Germany,Sachsen,Dresden,51.03,13.75,OIE,Confirmed,Wild,Phoenicopteridae (Unidentified):Phoenicopteridae (Incognita)(Phoenicopteridae),21/09/2022,05/10/2022,,
345734,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Vetschau/Spreewald,51.75,14.05,OIE,Confirmed,Domestic,Equidae,19/09/2022,17/02/2023,,
347362,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Hohe Börde,52.21,11.39,OIE,Confirmed,Domestic,Equidae,19/09/2022,07/03/2023,,
345640,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Kleinmachnow,52.4,13.2,OIE,Confirmed,Wild,Accipitridae (Incognita),16/09/2022,17/02/2023,,
345639,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.5,13.33,OIE,Confirmed,Wild,Corvidae (Incognita),15/09/2022,17/02/2023,,
345639,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.5,13.33,OIE,Confirmed,Wild,Passeridae (Unidentified):Passeridae (Incognita)(Passeridae),15/09/2022,17/02/2023,,
345639,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.5,13.33,OIE,Confirmed,Wild,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),15/09/2022,17/02/2023,,
332862,West Nile Fever,,Europe,Western Europe,Germany,Sachsen,Weißwasser/O.L.,51.51,14.63,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),12/09/2022,05/10/2022,,
332865,West Nile Fever,,Europe,Western Europe,Germany,Sachsen,Riesa,51.3,13.31,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),09/09/2022,05/10/2022,,
331733,West Nile Fever,,Europe,Western Europe,France,Provence-Alpes-Cote-d'Azur,LA GARDE,43.128,6.04,OIE,Confirmed,Domestic,Equidae,08/09/2022,16/09/2022,,
330753,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Magdeburg,52.12,11.66,OIE,Confirmed,Wild,Passeridae (Unidentified):Passeridae (Incognita)(Passeridae),06/09/2022,07/09/2022,,
332864,West Nile Fever,,Europe,Western Europe,Germany,Sachsen,Markranstädt,51.28,12.19,OIE,Confirmed,Domestic,Equidae,06/09/2022,05/10/2022,,
331497,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.5,13.33,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),05/09/2022,16/09/2022,,
331502,West Nile Fever,,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,Lewitzrand,53.44,11.7,OIE,Confirmed,Domestic,Equidae,05/09/2022,16/09/2022,,
333123,West Nile Fever,,Europe,Western Europe,Germany,Thueringen,Oberheldrungen,51.27,11.24,OIE,Confirmed,Domestic,Equidae,04/09/2022,10/10/2022,,
331498,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.48,13.46,OIE,Confirmed,Wild,Accipitridae (Unidentified):Accipitridae (Incognita)(Accipitridae),31/08/2022,16/09/2022,,
